Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ALKEM.BO,5672.35,2024/08/14,15:29 IST,-33.949707,5707.45,5816.95,5670.5,2549,,,,,,,
AKZOINDIA.BO,3181.95,2024/08/14,15:28 IST,-24.449951,3194.7,3224.4,3167.95,980,,,,,,,
AJANTPHARM.BO,3045.45,2024/08/14,15:57 IST,-130.65015,3199.5,3384.05,3025.0,28710,,,,,,,
AIIL.BO,1380.15,2024/08/14,15:29 IST,-24.5,1440.0,1440.0,1340.0,9971,,,,,,,
AIAENG.BO,4560.15,2024/08/14,15:41 IST,28.899902,4621.0,4621.0,4535.0,3788,,,,,,,
AFFLE.BO,1514.0,2024/08/14,15:29 IST,-10.099976,1535.65,1535.65,1467.45,28744,,,,,,,
AETHER.BO,896.75,2024/08/14,15:29 IST,-6.8499756,904.05,907.0,888.45,5165,,,,,,,
AEGISLOG.BO,750.45,2024/08/14,15:29 IST,-0.2000122,748.65,774.0,746.3,15622,,,,,,,
ADANIPOWER.BO,673.95,2024/08/14,15:59 IST,-15.200012,688.25,690.0,671.4,263981,,,,,,,
ADANIPORTS.BO,1461.75,2024/08/14,15:45 IST,-21.900024,1484.55,1488.0,1451.45,237652,,,,,,,
ADANIGREEN.BO,1807.7,2024/08/14,15:44 IST,-17.050049,1820.85,1825.65,1782.5,37599,,,,,,,
ADANIENT.BO,3039.3,2024/08/14,15:56 IST,-52.099854,3089.95,3089.95,3029.1,39672,,,,,,,
ADANIENSOL.BO,1114.3,2024/08/14,15:59 IST,43.700073,1080.0,1121.15,1070.55,237863,,,,,,,
ACE.BO,1233.55,2024/08/14,15:58 IST,-28.299927,1273.4,1278.0,1228.2,54573,,,,,,,
ACC.BO,2282.45,2024/08/14,15:29 IST,-21.800049,2304.85,2320.95,2267.85,9515,,,,,,,
ABSLAMC.BO,709.2,2024/08/14,15:59 IST,12.950012,688.15,710.0,682.7,28595,,,,,,,
ABFRL.BO,310.8,2024/08/14,15:54 IST,-1.9000244,314.7,315.2,309.0,95122,,,,,,,
ABCAPITAL.BO,203.5,2024/08/14,15:29 IST,-4.050003,208.8,210.35,201.55,362758,,,,,,,
ABBOTINDIA.BO,27045.8,2024/08/14,15:29 IST,-242.5,27330.25,27445.55,26972.45,160,,,,,,,
ABB.BO,7752.75,2024/08/14,15:57 IST,207.1499,7600.0,7811.95,7454.0,19785,,,,,,,
AAVAS.BO,1678.05,2024/08/14,15:29 IST,-24.25,1705.0,1722.85,1665.0,8992,,,,,,,
AARTIIND.BO,598.75,2024/08/14,15:47 IST,-22.400024,626.4,626.4,593.35,745543,,,,,,,
AADHARHFC.BO,385.5,2024/08/14,15:51 IST,-15.25,399.75,403.2,383.5,73091,,,,,,,
3MINDIA.BO,35890.15,2024/08/14,15:28 IST,-1093.9531,37285.0,37566.4,35801.0,96,,,,,,,
360ONE.BO,1016.95,2024/08/14,15:29 IST,3.7000122,1013.25,1033.5,1000.0,16897,,,,,,,
CMSINFO.BO,556.25,2024/08/14,15:29 IST,-0.15002441,563.15,567.85,548.3,19347,,,,,,,
SBFC.BO,84.0,2024/08/14,15:29 IST,2.5999985,81.4,85.24,80.95,132916,,,,,,,
MAHLIFE.BO,587.75,2024/08/14,15:42 IST,25.700012,563.0,592.4,556.0,28345,,,,,,,
TIPSINDLTD.BO,714.55,2024/08/14,15:57 IST,-8.100037,725.0,733.15,708.55,21691,,,,,,,
LEMONTREE.BO,115.65,2024/08/14,15:51 IST,-4.6500015,121.0,121.0,115.2,227450,,,,,,,
SAMMAANCAP.BO,152.8,2024/08/14,15:29 IST,-2.3499908,155.1,159.4,152.25,352558,,,,,,,
JKLAKSHMI.BO,800.0,2024/08/14,15:29 IST,-18.400024,834.4,834.4,796.85,6330,,,,,,,
AZAD.BO,1593.8,2024/08/14,15:29 IST,-32.44995,1622.2,1643.1,1581.85,8295,,,,,,,
AVANTIFEED.BO,692.8,2024/08/14,15:46 IST,-3.9000244,698.8,718.0,684.2,121957,,,,,,,
ESABINDIA.BO,6166.0,2024/08/14,15:28 IST,23.899902,6167.2,6174.7,6086.2,104,,,,,,,
