Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ADANIPORTS.BO,1461.75,2024/08/14,15:45 IST,-21.900024,1484.55,1488.0,1451.45,237652,,,,,,,
ADANIPORTS.NS,1460.0,2024/08/14,15:29 IST,-23.449951,1488.0,1488.0,1452.0,2647678,,,,,,,
ULTRACEMCO.BO,10991.35,2024/08/14,15:29 IST,-276.8506,11200.0,11200.0,10970.0,10327,,,,,,,
ULTRACEMCO.NS,11006.55,2024/08/14,15:29 IST,-264.6504,11200.0,11200.0,10963.1,404673,,,,,,,
DMART.BO,4949.0,2024/08/14,15:29 IST,23.899902,4960.0,5015.4,4912.1,6088,,,,,,,
DMART.NS,4961.95,2024/08/14,15:29 IST,32.450195,4950.0,5020.0,4913.3,282580,,,,,,,
ADANIENT.BO,3039.3,2024/08/14,15:56 IST,-52.099854,3089.95,3089.95,3029.1,39672,,,,,,,
ADANIENT.NS,3036.25,2024/08/14,15:29 IST,-55.94995,3085.7,3085.7,3027.75,1231874,,,,,,,
KOTAKBANK.NS,1749.0,2024/08/14,15:30 IST,-3.0500488,1755.0,1760.0,1744.55,2585649,,,,,,,
KOTAKBANK.BO,1748.15,2024/08/14,15:58 IST,-4.2999268,1750.0,1759.6,1744.1,172583,,,,,,,
AXISBANK.BO,1152.65,2024/08/14,15:52 IST,-7.3499756,1159.0,1159.0,1148.85,47924,,,,,,,
AXISBANK.NS,1152.65,2024/08/14,15:29 IST,-6.949951,1159.0,1159.0,1148.65,5021751,,,,,,,
MARUTI.NS,12211.65,2024/08/14,15:29 IST,35.450195,12239.0,12239.0,12130.0,449827,,,,,,,
MARUTI.BO,12195.1,2024/08/14,15:29 IST,29.399414,12294.7,12294.7,12130.0,4192,,,,,,,
NTPC.BO,397.0,2024/08/14,15:29 IST,1.1499939,399.65,400.0,393.55,162387,,,,,,,
NTPC.NS,397.05,2024/08/14,15:29 IST,0.8499756,398.9,400.0,393.65,9424614,,,,,,,
TATAMTRDVR.BO,726.0,2024/08/14,15:29 IST,3.4500122,722.95,730.9,717.45,15460,,,,,,,
TATAMTRDVR.NS,724.3,2024/08/14,15:29 IST,1.25,721.55,730.95,717.05,2528453,,,,,,,
TATAMOTORS.BO,1062.0,2024/08/14,15:59 IST,8.449951,1059.0,1067.15,1046.55,474015,,,,,,,
TATAMOTORS.NS,1062.85,2024/08/14,15:30 IST,9.400024,1057.0,1067.05,1047.0,8211830,,,,,,,
BAJFINANCE.BO,6460.85,2024/08/14,15:40 IST,-7.6000977,6499.95,6499.95,6429.55,78255,,,,,,,
BAJFINANCE.NS,6474.0,2024/08/14,15:29 IST,8.950195,6482.5,6489.95,6430.95,774053,,,,,,,
ONGC.NS,329.8,2024/08/14,15:30 IST,-6.100006,335.85,336.5,326.8,17812763,,,,,,,
ONGC.BO,328.45,2024/08/14,15:47 IST,-7.049988,335.55,336.55,326.9,768936,,,,,,,
SUNPHARMA.NS,1740.8,2024/08/14,15:29 IST,0.70007324,1747.5,1753.0,1732.6,2207250,,,,,,,
SUNPHARMA.BO,1742.3,2024/08/14,15:29 IST,2.5500488,1751.25,1752.45,1733.5,9266,,,,,,,
HCLTECH.BO,1625.95,2024/08/14,15:49 IST,33.299927,1597.0,1630.0,1597.0,122698,,,,,,,
HCLTECH.NS,1623.9,2024/08/14,15:30 IST,31.25,1600.1,1629.75,1598.25,3932148,,,,,,,
LT.BO,3543.8,2024/08/14,15:29 IST,-7.449951,3551.5,3578.45,3537.85,39254,,,,,,,
LT.NS,3540.05,2024/08/14,15:30 IST,-11.75,3558.95,3578.7,3536.5,1584372,,,,,,,
ITC.BO,491.9,2024/08/14,15:54 IST,2.0499878,492.75,498.95,490.0,155962,,,,,,,
ITC.NS,492.55,2024/08/14,15:29 IST,2.5499878,491.95,499.0,489.9,9253598,,,,,,,
HINDUNILVR.NS,2721.15,2024/08/14,15:29 IST,-20.25,2741.0,2742.55,2706.6,946995,,,,,,,
HINDUNILVR.BO,2724.1,2024/08/14,15:59 IST,-16.599854,2729.25,2741.95,2707.2,14033,,,,,,,
LICI.BO,1025.95,2024/08/14,15:43 IST,-2.8000488,1041.1,1043.95,1004.85,312816,,,,,,,
